ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1650892563.172561,,0,0,0,446,208207,79494,47511,2,1,0
1650892563.172561,postgres,0,10847,76,5984,501168,4404089,175961,35,0,0
1650892563.172561,dbt2,11,5567579,25119,2145212,1020033573,288516389,200102300,34363291,63942552,1866080
1650892563.172561,template1,0,0,0,0,0,0,0,0,0,0
1650892563.172561,template0,0,0,0,0,0,0,0,0,0,0
1650892623.175814,,0,0,0,446,208361,79576,47547,2,1,0
1650892623.175814,postgres,0,10849,76,5984,501251,4405330,175975,35,0,0
1650892623.175814,dbt2,11,5657899,25504,2257571,1037512886,292993880,203434528,34915091,64979815,1893103
1650892623.175814,template1,0,0,0,0,0,0,0,0,0,0
1650892623.175814,template0,0,0,0,0,0,0,0,0,0,0
1650892683.182192,,0,0,0,446,208552,79633,47592,2,1,0
1650892683.182192,postgres,0,10851,76,5984,501334,4406571,175989,35,0,0
1650892683.182192,dbt2,15,5748562,25906,2305703,1055223234,297790029,206825959,35464369,66024114,1921505
1650892683.182192,template1,0,0,0,0,0,0,0,0,0,0
1650892683.182192,template0,0,0,0,0,0,0,0,0,0,0
1650892743.181145,,0,0,0,446,208685,79694,47624,2,1,0
1650892743.181145,postgres,0,10853,76,5984,501417,4407812,176003,35,0,0
1650892743.181145,dbt2,13,5848811,26335,2341517,1074066683,303062028,210620807,36072467,67183137,1953587
1650892743.181145,template1,0,0,0,0,0,0,0,0,0,0
1650892743.181145,template0,0,0,0,0,0,0,0,0,0,0
1650892803.197074,,0,0,0,446,208886,79787,47671,2,1,0
1650892803.197074,postgres,0,10855,76,5984,501500,4409053,176017,35,0,0
1650892803.197074,dbt2,13,5946969,26796,2389384,1093620828,308706872,214310023,36667357,68310497,1982282
1650892803.197074,template1,0,0,0,0,0,0,0,0,0,0
1650892803.197074,template0,0,0,0,0,0,0,0,0,0,0
1650892863.192631,,0,0,0,446,209030,79833,47705,2,1,0
1650892863.192631,postgres,0,10857,76,5984,501583,4410294,176031,35,0,0
1650892863.192631,dbt2,12,6044535,27214,2418919,1114247811,314188151,218000057,37259576,69429491,2008034
1650892863.192631,template1,0,0,0,0,0,0,0,0,0,0
1650892863.192631,template0,0,0,0,0,0,0,0,0,0,0
