# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
pgsql1.dbt2.internal;60;1653668521;lo;21.83;21.83;5.19;5.19;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;eth0;0.55;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668521;eth1;1.77;0.68;0.13;0.09;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668581;lo;13.58;13.58;3.92;3.92;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668581;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668581;eth1;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668641;lo;13.32;13.32;4.48;4.48;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668641;eth0;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668641;eth1;0.50;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668701;lo;19.41;19.41;3.90;3.90;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668701;eth0;0.52;0.00;0.03;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1653668701;eth1;0.68;0.10;0.04;0.01;0.00;0.00;0.00;0.00
