# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgsql1.dbt2.internal;60;1653668794;36266756;64550484;29441520;44.81;0;28283728;15313424;23.31;19947472;8621144;1271560
pgsql1.dbt2.internal;60;1653668854;35701528;64726152;30006748;45.67;0;29024624;14999132;22.83;21044168;8066656;393132
pgsql1.dbt2.internal;60;1653668914;34916316;64714528;30791960;46.86;0;29798212;14963612;22.77;21727676;8146796;1270080
pgsql1.dbt2.internal;60;1653668974;35334932;64724224;30373344;46.22;0;29389292;14999300;22.83;21956764;7510912;69928
pgsql1.dbt2.internal;60;1653669034;35831512;64702420;29876764;45.47;0;28870908;15036868;22.88;22189480;6796268;337020
pgsql1.dbt2.internal;60;1653669094;36108316;64748492;29599960;45.05;0;28640176;14979220;22.80;22264348;6452308;93040
pgsql1.dbt2.internal;60;1653669154;35221832;64727092;30486444;46.40;0;29505260;14966980;22.78;22493240;7084972;958528
pgsql1.dbt2.internal;60;1653669214;36074828;64744364;29633448;45.10;0;28669536;14988824;22.81;22599980;6149348;135572
pgsql1.dbt2.internal;60;1653669274;36008672;64758732;29699604;45.20;0;28750060;14952568;22.76;22708608;6105276;199312
pgsql1.dbt2.internal;60;1653669334;34438032;64716716;31270244;47.59;0;30278684;14972364;22.79;22777744;7564740;1684996
